@relation 'MusicMoods-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R2,4-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R7'

@attribute track_mode_confidence numeric
@attribute track_key_confidence numeric
@attribute track_time_signature_confidence numeric
@attribute track_time_signature numeric
@attribute track_tempo_confidence numeric
@attribute track_end_of_fade_in numeric
@attribute duration_ms numeric
@attribute tempo numeric
@attribute valence numeric
@attribute liveness numeric
@attribute instrumentalness numeric
@attribute acousticness numeric
@attribute speechiness numeric
@attribute mode numeric
@attribute loudness numeric
@attribute key numeric
@attribute energy numeric
@attribute danceability numeric
@attribute mood {0,1}

@data
0.478,0.308,1,4,0.92,0.19088,254960,107.068,0.826,0.136,0.832,0.0374,0.0336,1,-9.468,8,0.578,0.665,1
0.277,0.682,0.869,5,0.318,0,224547,117.613,0.736,0.207,0,0.00417,0.391,1,-4.231,1,0.747,0.935,1
0.27,0.097,1,4,1,0,227587,132.021,0.73,0.458,0.00249,0.00976,0.0376,0,-6.232,9,0.726,0.766,1
0.467,0.597,1,4,0.684,0.16857,199453,143.995,0.507,0.037,0.000015,0.00193,0.0749,0,-6.919,11,0.441,0.702,0
0.477,0.592,1,4,0.146,0.10263,147067,198.733,0.486,0.0873,0.00543,0.0186,0.172,1,-5.099,2,0.957,0.449,1
0.467,0.302,0.823,3,0.123,0.10639,274067,160.707,0.112,0.0866,0.000341,0.377,0.0459,1,-10.623,7,0.252,0.389,0
0.536,0.405,1,4,0.269,0.06993,282240,134.94,0.263,0.329,0,0.117,0.0368,1,-5.889,5,0.704,0.496,0
0.155,0.131,1,4,0.874,1.02825,237893,140.008,0.819,0.479,0,0.0512,0.0565,0,-7.74,5,0.946,0.644,1
0.414,0.596,0.444,4,0.133,0.20299,385693,139.325,0.146,0.122,0,0.0266,0.0333,1,-4.193,6,0.581,0.262,0
0.617,0.414,0.792,4,0.151,0,346746,116.744,0.0567,0.984,0.0069,0.782,0.0354,1,-16.127,7,0.132,0.346,0
0.776,0.81,0.04,1,0.321,0.19156,172067,90.889,0.267,0.0922,0.00478,0.331,0.0229,1,-9.843,0,0.477,0.525,0
0.862,0.993,0.799,4,0,0,205367,147.419,0.216,0.0828,0.000039,0.966,0.05,1,-21.965,5,0.0153,0.41,0
0.587,0.433,1,4,0.638,0,221904,105.969,0.13,0.124,0,0.124,0.0553,0,-7.607,6,0.644,0.611,1
